file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_MV0475_0173_1372309_to_1377493,སྤྱན་ཆབ་རྒྱ་མཚོ་ལྟར་གས་ཀི་རེད།  ,spyan chab rgya mtsho ltar gas ki red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0475_0173_1372309_to_1377493.wav,STT_MV,3,32,5.184,wav16k/STT_MV0475_0173_1372309_to_1377493.wav,སྤྱན་ཆབ་རྒྱ་མཚོ་ལྟར་ཁྱེལ་གི་རེད།
STT_AB00291_0009_61015_to_71079,འབྲས་བུ་སངས་རྒྱས་ཐོབ་པའི་སར་བསྔོའོ། ཞེས་གསུངས་པས། ཡབ་རྒྱལ་པོས་སྲས་ལ་བཀའ་སྩལ་པ། ཁྱོད་ཀྱིས་ཇི་ལྟར་སྨྲས་པ་དེ་ལྟར་བདེན།  ,'bras bu sangs rgyas thob pa'i sar bsngo'o/_zhes gsungs pas/_yab rgyal pos sras la bka' stsal pa/_khyod kyis ji ltar smras pa de ltar bden/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00291_0009_61015_to_71079.wav,STT_AB,3,117,10.064,wav16k/STT_AB00291_0009_61015_to_71079.wav,འབྲས་བུ་སངས་རྒྱས་ཐོབ་པའི་སར་བསྔོའོ། ཞེས་གསུངས་པས། ཡབ་རྒྱལ་པོས་སྲས་ལ་བཀའ་སྩལ་པ། ཁྱོད་ཀྱིས་ཇི་ལྟར་སྨྲས་པ་དེ་ལྟར་བདེན།
STT_NS_M0507_0125_730448_to_733131,ཨེ་ནས་ད་ཁ་ཤས་ག་འདྲའི་ལབ་ན་ཡོད་བ་ད་སོ་སོ།  ,e nas da kha shas ga 'dra'i lab na yod ba da so so/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0507_0125_730448_to_733131.wav,STT_NS,3,42,2.683,wav16k/STT_NS_M0507_0125_730448_to_733131.wav,ཨེ་ནས་ད་ཁ་ཤས་ག་འདྲའི་ལབ་ན་ཡོད་བ་ད་སོ་སོ།
STT_NS_M0512_0510_2890605_to_2896526,རྐང་རྩེད་སྤོ་ལོ་ཡིན་ན་འདྲ། སིལ་སྤོལ་འདྲ་བོ་ད་རྩེ་ཡ་དགའ་བོ་ཡོད་རཱ། ཨོ་ཨེ་འདྲའི་ཡིན་དུས་ཙམ་པ་ལ་རཱ་ད། དེ་ཚོ་གང་ཚང་ད་སོ་སོའི་གཟུགས་པོ་ལ་ཕན།  ,rkang rtsed spo lo yin na 'dra/_sil spol 'dra bo da rtse ya dga' bo yod rA/_o e 'dra'i yin dus tsam pa la rA da/_de tsho gang tshang da so so'i gzugs po la phan/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0512_0510_2890605_to_2896526.wav,STT_NS,3,137,5.921,wav16k/STT_NS_M0512_0510_2890605_to_2896526.wav,སྟངས་རྩེད་སྤོ་ལོ་ཡིན་ན་འདྲ། སིལ་སྤོལ་འདྲ་བོ་ད་རྩེ་ཡ་དགའ་བོ་ཡོད་རཱ། ཨོ་ཨེ་འདྲའི་ཡིན་དུས་ཙམ་པ་ལ་རཱ་ད་དེ་ཚོ་གང་ཚང་ད་སོ་སོའི་གཟུགས་པོ་ལ་ཕན།
STT_MV0666_0024_203555_to_210234,རང་བཙལ་བྱས་དོན་དག་ཏོག་ཙི་ཡོད། ཡོང་ང། རང་ཡོང་ཙང་། དོན་དག་གེ་ཆེན་པོ་ག་ཚོད་གཡུག་བཞག་གི་ཡིན། མགྱོགས་སེ་སྡོད་ད།  ,rang btsal byas don dag tog tsi yod/_yong nga/_rang yong tsang /_don dag ge chen po ga tshod g.yug bzhag gi yin/_mgyogs se sdod da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0666_0024_203555_to_210234.wav,STT_MV,3,108,6.679,wav16k/STT_MV0666_0024_203555_to_210234.wav,རང་བཙལ་བྱས་དོན་དག་ཏོག་ཙི་ཡོད། ཡོང་ང་། རང་ཡོང་ཙང་དོན་དག་གལ་ཆེན་པོ་ག་ཚོད་ཡོད་ནས་གཡུག་བཞག་གི་ཡིན། མགྱོགས་སེ་སྡོད་ད།
STT_MV0666_0036_283480_to_292295,ངའི་སྲོག་བསྐྱབ་ཡ་གི་ཆེད་དུ། ཨ་ཅག་མོ་རང་གི་གྲོད་ཁོག་ནང་གི་བུ་གུ་དེ་ཤོར་བ་རེད། ད་དུང་ངའི་ཨ་མ་གཤག་བཅོས་བྱས་དུས་ཨ་ཅག་གིས་རོགས་པ་ཞེ་དྲག་བྱས་བྱུང་།  ,nga'i srog bskyab ya gi ched du/_a cag mo rang gi grod khog nang gi bu gu de shor ba red/_da dung nga'i a ma gshag bcos byas dus a cag gis rogs pa zhe drag byas byung /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0666_0036_283480_to_292295.wav,STT_MV,3,143,8.815,wav16k/STT_MV0666_0036_283480_to_292295.wav,ངའི་སྲོག་བསྐྱབ་ཡ་གི་ཆེད་དུ་ ཨ་ཅག་མོ་རང་གི་གྲོད་ཁོག་ནང་གི་བུ་གུ་དེ་ཤོར་བ་རེད། ད་དུང་ངའི་ཨ་མ་གཤག་བཅོས་བྱེད་དུས་ཨ་ཅག་གིས་རོགས་པ་ཞེ་དྲག་བྱས་བྱུང་།
STT_MV0666_0041_315693_to_316930,ངེད་གཉིས་དགའ་རོགས་བསྒྲིག་དགོས་ཡོད།  ,nged gnyis dga' rogs bsgrig dgos yod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0666_0041_315693_to_316930.wav,STT_MV,3,36,1.237,wav16k/STT_MV0666_0041_315693_to_316930.wav,ངེད་གཉིས་དགའ་རོགས་སྒྲིག་གོས་ཡོད།
STT_MV0666_0047_367184_to_377183,རྨའེ་ཤང་། ཁམས་བཟང། ཁམས་བཟང། སྐད་ཆ་འདྲི་ཡ་གཅིག་ཡོད། ཉལ་ཁང་འདིའི་ནང་གི་མགྲོན་པ་ཕྱི་ལ་ཕྱིན་སོང་ངེ། མཐོང་མ་བྱུང་། བྱས་ན་མདང་དགོང་ལོག་བསླེབས་སོང་ངེ།  ,rma'e shang /_khams bzang/_khams bzang/_skad cha 'dri ya gcig yod/_nyal khang 'di'i nang gi mgron pa phyi la phyin song nge/_mthong ma byung /_byas na mdang dgong log bslebs song nge/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0666_0047_367184_to_377183.wav,STT_MV,3,145,9.999,wav16k/STT_MV0666_0047_367184_to_377183.wav,རྨའེ་ཤང། ཁམས་བཟང་། ཁམས་བཟང་། སྐད་ཆ་འདྲི་ཡ་གཅིག་ཡོད། ཉལ་ཁང་འདིའི་ནང་གི་འགྲུལ་པ་ཕྱི་ལ་ཕྱིན་སོང་ངེ། མཐོང་མ་བྱུང། བྱས་ན་མདང་དགོང་ལོག་སླེབས་སོང་ངེ།
STT_MV0666_0049_382920_to_389108,ཁྱེད་རང་། ང་མོ་རང་གི་ཇོ་ཇོ་ཡིན། ཨ་ལེ་ལ་སོ། ཡག་བྱུང་།  ,khyed rang /_nga mo rang gi jo jo yin/_a le la so/_yag byung /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0666_0049_382920_to_389108.wav,STT_MV,3,54,6.188,wav16k/STT_MV0666_0049_382920_to_389108.wav,ཁྱེད་རང་ ང་མ་རང་ཇོ་ཇོ་ཡིན། ཨ་ལེ། ལ་སེ། ཡག་བྱུང་།
STT_CS-L-2016_2016-P_P-D_D-B02_B02-2_2-R_R-02_0273_2029014_to_2037056,བཅོ་ལྔ། བཅུ་དྲུག བཅུ་དྲུག བཅུ་དྲུག་གཞུག་ལ་ད་ལྟ་ག་ཚོད་རེད་བཅུ་དྲུག བཅུ་བདུན། བཅོ་བརྒྱད་རེད་ད་ལྟ། བཅོ་བརྒྱད། ཉིན་མ་གཉིས་ལྷག་བཞག ,bco lnga/_bcu drug_bcu drug_bcu drug gzhug la da lta ga tshod red bcu drug_bcu bdun/_bco brgyad red da lta/_bco brgyad/_nyin ma gnyis lhag bzhag_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2016_2016-P_P-D_D-B02_B02-2_2-R_R-02_0273_2029014_to_2037056.wav,STT_CS,3,126,8.042,wav16k/STT_CS-L-2016_2016-P_P-D_D-B02_B02-2_2-R_R-02_0273_2029014_to_2037056.wav,བཅུ་བཅོ་ལྔ། བཅུ་དྲུག བཅུ་དྲུག བཅུ་ལ། ད་ལྟ་ང་ཚོད། བཅུ་དྲུག བཅུ་བདུན། བཅོ་བརྒད་བརྒྱད། ་རེདད་ལྟ། བཅོ་བརྒྱད། ཉི་མ་གཉིས་རག་སང།
